file_name,wt,image_id,time,style,gender
W_13846_60_minimal_W,W,13846,60,minimal,W
W_15811_10_sportivecasual_M,W,15811,10,sportivecasual,M
W_14489_19_normcore_W,W,14489,19,normcore,W
W_12533_80_bold_M,W,12533,80,bold,M
W_16836_19_normcore_M,W,16836,19,normcore,M
W_18057_50_classic_W,W,18057,50,classic,W
W_10981_50_feminine_W,W,10981,50,feminine,W
W_17123_19_normcore_M,W,17123,19,normcore,M
W_08892_10_sportivecasual_W,W,08892,10,sportivecasual,W
W_14897_10_sportivecasual_W,W,14897,10,sportivecasual,W
W_02713_70_hippie_M,W,02713,70,hippie,M
W_04869_50_classic_W,W,04869,50,classic,W
W_17250_19_normcore_M,W,17250,19,normcore,M
W_04727_00_metrosexual_M,W,04727,00,metrosexual,M
W_11422_00_ecology_W,W,11422,00,ecology,W
W_04709_90_hiphop_M,W,04709,90,hiphop,M
W_01527_19_normcore_M,W,01527,19,normcore,M
W_07461_70_hippie_W,W,07461,70,hippie,W
W_06633_50_ivy_M,W,06633,50,ivy,M
W_16131_80_bold_M,W,16131,80,bold,M
W_00559_19_normcore_W,W,00559,19,normcore,W
W_14031_80_bodyconscious_W,W,14031,80,bodyconscious,W
W_16219_70_hippie_M,W,16219,70,hippie,M
W_08173_19_normcore_W,W,08173,19,normcore,W
W_18505_80_powersuit_W,W,18505,80,powersuit,W
W_19342_70_hippie_W,W,19342,70,hippie,W
W_12393_50_ivy_M,W,12393,50,ivy,M
W_10299_90_kitsch_W,W,10299,90,kitsch,W
W_15574_00_metrosexual_M,W,15574,00,metrosexual,M
W_18797_70_disco_W,W,18797,70,disco,W
W_15218_60_mods_M,W,15218,60,mods,M
W_03388_00_cityglam_W,W,03388,00,cityglam,W
W_18670_00_ecology_W,W,18670,00,ecology,W
W_05021_90_hiphop_W,W,05021,90,hiphop,W
W_08637_90_kitsch_W,W,08637,90,kitsch,W
W_06374_00_ecology_W,W,06374,00,ecology,W
W_03623_70_punk_W,W,03623,70,punk,W
W_15848_60_mods_M,W,15848,60,mods,M
W_09352_70_military_W,W,09352,70,military,W
W_09343_19_lounge_W,W,09343,19,lounge,W
W_01993_00_oriental_W,W,01993,00,oriental,W
W_01133_60_minimal_W,W,01133,60,minimal,W
W_01424_70_hippie_M,W,01424,70,hippie,M
W_12027_90_kitsch_W,W,12027,90,kitsch,W
W_04750_19_normcore_M,W,04750,19,normcore,M
W_12142_80_bold_M,W,12142,80,bold,M
W_05289_50_feminine_W,W,05289,50,feminine,W
W_15823_90_hiphop_M,W,15823,90,hiphop,M
W_13859_10_athleisure_W,W,13859,10,athleisure,W
W_08943_19_genderless_W,W,08943,19,genderless,W
W_10614_80_bodyconscious_W,W,10614,80,bodyconscious,W
W_07061_90_hiphop_M,W,07061,90,hiphop,M
W_09426_90_kitsch_W,W,09426,90,kitsch,W
W_10183_00_oriental_W,W,10183,00,oriental,W
W_04677_50_ivy_M,W,04677,50,ivy,M
W_10919_00_ecology_W,W,10919,00,ecology,W
W_11256_80_bodyconscious_W,W,11256,80,bodyconscious,W
W_00284_80_bodyconscious_W,W,00284,80,bodyconscious,W
W_16460_19_normcore_M,W,16460,19,normcore,M
W_05787_10_sportivecasual_W,W,05787,10,sportivecasual,W
W_15441_00_metrosexual_M,W,15441,00,metrosexual,M
W_11367_60_popart_W,W,11367,60,popart,W
W_15184_60_mods_M,W,15184,60,mods,M
W_15723_70_hippie_M,W,15723,70,hippie,M
W_11117_19_normcore_M,W,11117,19,normcore,M
W_06228_10_sportivecasual_M,W,06228,10,sportivecasual,M
W_14983_00_ecology_W,W,14983,00,ecology,W
W_17384_50_ivy_M,W,17384,50,ivy,M
W_11845_70_hippie_W,W,11845,70,hippie,W
W_00682_70_punk_W,W,00682,70,punk,W
W_05894_90_hiphop_M,W,05894,90,hiphop,M
W_00073_50_ivy_M,W,00073,50,ivy,M
W_00432_90_hiphop_W,W,00432,90,hiphop,W
W_05529_10_sportivecasual_W,W,05529,10,sportivecasual,W
W_04993_70_hippie_W,W,04993,70,hippie,W
W_14824_50_feminine_W,W,14824,50,feminine,W
W_04695_10_sportivecasual_M,W,04695,10,sportivecasual,M
