wt,image_id,time,style,gender,survey_id
W,27004,90,hiphop,M,144969
W,06148,50,ivy,M,060381
W,05289,50,feminine,W,198286
W,06979,90,hiphop,M,080074
W,09157,60,mods,M,137515
W,10949,50,feminine,W,172729
W,04745,90,hiphop,M,122699
W,03787,80,bodyconscious,W,123496
W,24038,60,mods,M,196624
W,26237,50,ivy,M,064891
T,00253,60,popart,W,203632
W,09123,60,mods,M,147646
W,05670,10,athleisure,W,116399
W,44038,60,minimal,W,217294
W,04638,00,metrosexual,M,069396
W,10098,50,ivy,M,046773
W,15517,70,hippie,M,111235
W,06507,50,ivy,M,133712
W,18990,50,feminine,W,125259
W,09168,80,bold,M,145218
W,12583,70,hippie,M,023850
W,00217,60,space,W,101406
W,13625,70,punk,W,008658
W,07418,50,feminine,W,105622
W,05140,50,feminine,W,122099
W,12480,19,normcore,M,118418
W,22210,70,disco,W,155607
W,10621,80,bodyconscious,W,013959
W,57375,90,kitsch,W,194128
W,02897,90,hiphop,M,001855
W,13104,50,classic,W,202421
W,61255,00,cityglam,W,171918
W,18717,90,kitsch,W,031277
W,13376,50,feminine,W,095939
W,07198,10,sportivecasual,M,122222
W,15344,60,mods,M,107075
W,16057,70,hippie,M,139140
W,27700,70,hippie,M,201804
W,17015,10,sportivecasual,M,182498
W,13363,80,powersuit,W,041604
W,05202,10,sportivecasual,W,119644
W,10810,60,mods,M,196143
W,02685,60,mods,M,041569
W,12744,50,ivy,M,092572
W,41633,60,space,W,060756
W,18675,50,feminine,W,223086
W,13359,80,powersuit,W,110943
W,12337,80,bold,M,135875
W,19512,70,hippie,W,061725
W,12472,90,hiphop,M,114423
T,02820,10,sportivecasual,W,200565
W,24717,60,mods,M,063261
W,62634,80,powersuit,W,109167
W,15488,00,metrosexual,M,053262
W,24517,70,hippie,M,152745
W,09961,50,feminine,W,033448
W,04328,19,normcore,M,145047
W,35091,80,powersuit,W,143809
W,33002,60,mods,M,039676
W,29733,10,sportivecasual,W,178949
W,18730,50,feminine,W,091174
W,14102,50,feminine,W,158680
W,16736,00,metrosexual,M,122229
W,34573,10,sportivecasual,W,099842
W,06532,60,mods,M,196766
W,08444,80,bodyconscious,W,021068
T,14071,19,lounge,W,203939
W,03561,00,cityglam,W,011145
W,12302,50,ivy,M,042285
W,29485,10,sportivecasual,M,179306
W,11103,00,metrosexual,M,118433
W,03073,00,ecology,W,090482
W,40668,70,punk,W,070923
W,28488,80,powersuit,W,151304
W,06249,70,hippie,M,082316
W,26387,90,hiphop,M,040243
W,01501,00,metrosexual,M,098464
W,27343,90,lingerie,W,152855
W,15172,00,metrosexual,M,007601
