응답자 ID,파일명,스타일 선호 여부
12,W_03412_50_classic_W.jpg,스타일 선호
25,W_12740_00_metrosexual_M.jpg,스타일 비선호
26,W_18990_50_feminine_W.jpg,스타일 비선호
27,W_06563_70_hippie_M.jpg,스타일 비선호
27,W_17260_19_normcore_M.jpg,스타일 선호
27,W_07347_90_hiphop_M.jpg,스타일 비선호
27,W_16068_80_bold_M.jpg,스타일 선호
27,W_15268_50_ivy_M.jpg,스타일 선호
27,W_17957_80_bold_M.jpg,스타일 선호
27,W_15212_60_mods_M.jpg,스타일 비선호
27,W_03007_70_hippie_M.jpg,스타일 선호
27,W_10814_50_ivy_M.jpg,스타일 비선호
27,W_10810_60_mods_M.jpg,스타일 선호
30,W_18249_50_feminine_W.jpg,스타일 선호
30,W_63984_80_powersuit_W.jpg,스타일 선호
30,W_49287_70_punk_W.jpg,스타일 비선호
53,W_18171_50_feminine_W.jpg,스타일 선호
53,W_42244_60_minimal_W.jpg,스타일 비선호
53,W_14211_60_minimal_W.jpg,스타일 선호
133,W_10073_70_hippie_M.jpg,스타일 비선호
133,W_06922_00_metrosexual_M.jpg,스타일 비선호
133,W_06666_90_hiphop_M.jpg,스타일 선호
133,W_17853_10_sportivecasual_M.jpg,스타일 비선호
133,W_02876_10_sportivecasual_M.jpg,스타일 선호
133,W_15820_70_hippie_M.jpg,스타일 비선호
133,W_02739_50_ivy_M.jpg,스타일 비선호
133,W_01514_90_hiphop_M.jpg,스타일 비선호
133,W_00803_50_ivy_M.jpg,스타일 선호
133,W_00525_10_sportivecasual_M.jpg,스타일 비선호
133,W_00036_50_ivy_M.jpg,스타일 선호
133,W_09233_60_mods_M.jpg,스타일 비선호
139,W_18079_50_classic_W.jpg,스타일 비선호
140,W_04759_90_hiphop_M.jpg,스타일 비선호
179,W_14147_70_disco_W.jpg,스타일 비선호
179,W_18543_60_popart_W.jpg,스타일 선호
179,W_09086_19_normcore_W.jpg,스타일 선호
179,W_03787_80_bodyconscious_W.jpg,스타일 비선호
179,W_19433_00_oriental_W.jpg,스타일 비선호
179,W_11602_19_normcore_W.jpg,스타일 선호
196,W_35801_80_bold_M.jpg,스타일 비선호
196,W_27319_10_sportivecasual_M.jpg,스타일 비선호
196,W_28350_19_normcore_M.jpg,스타일 선호
196,W_15343_50_ivy_M.jpg,스타일 선호
196,W_12803_70_hippie_M.jpg,스타일 선호
196,W_15669_00_metrosexual_M.jpg,스타일 비선호
196,W_10075_50_ivy_M.jpg,스타일 비선호
196,W_01549_50_ivy_M.jpg,스타일 선호
196,W_07125_60_mods_M.jpg,스타일 선호
289,W_06448_10_sportivecasual_W.jpg,스타일 선호
289,W_19735_90_grunge_W.jpg,스타일 비선호
289,W_02230_60_space_W.jpg,스타일 선호
289,W_11495_19_genderless_W.jpg,스타일 비선호
289,W_07695_80_bodyconscious_W.jpg,스타일 비선호
289,W_06298_80_bodyconscious_W.jpg,스타일 비선호
368,W_06753_60_mods_M.jpg,스타일 선호
368,W_06686_70_hippie_M.jpg,스타일 선호
368,W_15453_70_hippie_M.jpg,스타일 비선호
368,W_06843_60_mods_M.jpg,스타일 선호
368,W_06896_10_sportivecasual_M.jpg,스타일 선호
368,W_04604_00_metrosexual_M.jpg,스타일 선호
368,W_12459_50_ivy_M.jpg,스타일 비선호
368,W_06551_60_mods_M.jpg,스타일 비선호
368,W_04678_50_ivy_M.jpg,스타일 선호
368,W_16264_80_bold_M.jpg,스타일 비선호
368,W_06263_19_normcore_M.jpg,스타일 비선호
368,W_01703_00_metrosexual_M.jpg,스타일 선호
368,W_16157_70_hippie_M.jpg,스타일 비선호
368,W_02714_00_metrosexual_M.jpg,스타일 비선호
368,W_15340_50_ivy_M.jpg,스타일 비선호
368,W_15157_60_mods_M.jpg,스타일 비선호
368,W_17455_00_metrosexual_M.jpg,스타일 선호
368,W_04622_60_mods_M.jpg,스타일 선호
368,W_17320_70_hippie_M.jpg,스타일 선호
368,W_04444_90_hiphop_M.jpg,스타일 비선호
368,W_05422_00_metrosexual_M.jpg,스타일 비선호
368,W_02804_19_normcore_M.jpg,스타일 선호
368,W_16726_19_normcore_M.jpg,스타일 비선호
368,W_00799_10_sportivecasual_M.jpg,스타일 선호
368,W_02777_90_hiphop_M.jpg,스타일 비선호
368,W_16483_19_normcore_M.jpg,스타일 비선호
368,W_16606_90_hiphop_M.jpg,스타일 비선호
368,W_09835_50_ivy_M.jpg,스타일 선호
368,W_00886_90_hiphop_M.jpg,스타일 선호
368,W_00905_19_normcore_M.jpg,스타일 비선호
368,W_12817_50_ivy_M.jpg,스타일 선호
368,W_00528_10_sportivecasual_M.jpg,스타일 선호
368,W_16422_10_sportivecasual_M.jpg,스타일 비선호
368,W_17536_80_bold_M.jpg,스타일 선호
368,W_12843_19_normcore_M.jpg,스타일 선호
368,W_16403_10_sportivecasual_M.jpg,스타일 선호
368,W_11108_00_metrosexual_M.jpg,스타일 비선호
368,W_15572_80_bold_M.jpg,스타일 선호
368,W_15568_70_hippie_M.jpg,스타일 비선호
368,W_15519_90_hiphop_M.jpg,스타일 비선호
368,W_15791_70_hippie_M.jpg,스타일 비선호
368,W_17663_80_bold_M.jpg,스타일 비선호
368,W_04238_50_ivy_M.jpg,스타일 선호
368,W_11014_80_bold_M.jpg,스타일 비선호
401,W_06570_70_hippie_M.jpg,스타일 비선호
401,W_11063_00_metrosexual_M.jpg,스타일 선호
401,W_06249_70_hippie_M.jpg,스타일 선호
401,W_17957_80_bold_M.jpg,스타일 비선호
436,W_14584_50_classic_W.jpg,스타일 선호
498,W_24212_70_hippie_M.jpg,스타일 비선호
525,W_16092_80_bold_M.jpg,스타일 선호
525,W_15766_00_metrosexual_M.jpg,스타일 비선호
525,W_09765_50_ivy_M.jpg,스타일 선호
525,W_15593_70_hippie_M.jpg,스타일 비선호
525,W_04248_70_hippie_M.jpg,스타일 선호
525,W_10082_50_ivy_M.jpg,스타일 선호
525,W_12828_50_ivy_M.jpg,스타일 비선호
525,W_06889_90_hiphop_M.jpg,스타일 비선호
525,W_17815_00_metrosexual_M.jpg,스타일 비선호
525,W_09760_60_mods_M.jpg,스타일 선호
525,W_12189_60_mods_M.jpg,스타일 비선호
525,W_17741_80_bold_M.jpg,스타일 비선호
541,W_19264_90_kitsch_W.jpg,스타일 비선호
541,W_05202_10_sportivecasual_W.jpg,스타일 비선호
541,W_19912_70_hippie_W.jpg,스타일 비선호
559,W_51973_70_hippie_M.jpg,스타일 비선호
559,W_02927_60_mods_M.jpg,스타일 비선호
597,W_31252_00_ecology_W.jpg,스타일 선호
677,W_00041_70_hippie_M.jpg,스타일 선호
677,W_28443_10_sportivecasual_M.jpg,스타일 비선호
677,W_10823_50_ivy_M.jpg,스타일 선호
677,W_15630_50_ivy_M.jpg,스타일 비선호
677,W_24747_60_mods_M.jpg,스타일 비선호
677,W_28604_10_sportivecasual_M.jpg,스타일 선호
677,W_02710_50_ivy_M.jpg,스타일 비선호
677,W_24152_60_mods_M.jpg,스타일 선호
677,W_00475_50_ivy_M.jpg,스타일 비선호
680,W_03162_50_feminine_W.jpg,스타일 비선호
681,W_37014_60_minimal_W.jpg,스타일 비선호
696,W_40177_60_popart_W.jpg,스타일 비선호
791,W_30591_50_ivy_M.jpg,스타일 선호
837,W_00829_10_sportivecasual_M.jpg,스타일 선호
837,W_00028_50_ivy_M.jpg,스타일 선호
837,W_12695_50_ivy_M.jpg,스타일 비선호
837,W_12821_50_ivy_M.jpg,스타일 선호
837,W_24413_70_hippie_M.jpg,스타일 비선호
837,W_32443_70_hippie_M.jpg,스타일 선호
837,W_33271_10_sportivecasual_M.jpg,스타일 비선호
837,W_24020_60_mods_M.jpg,스타일 선호
837,W_24381_70_hippie_M.jpg,스타일 비선호
837,W_15661_70_hippie_M.jpg,스타일 비선호
837,W_12900_60_mods_M.jpg,스타일 선호
837,W_09157_60_mods_M.jpg,스타일 선호
837,W_32287_80_bold_M.jpg,스타일 비선호
837,W_32173_19_normcore_M.jpg,스타일 비선호
837,W_31397_19_normcore_M.jpg,스타일 선호
837,W_17010_10_sportivecasual_M.jpg,스타일 선호
837,W_02944_00_metrosexual_M.jpg,스타일 선호
837,W_12610_00_metrosexual_M.jpg,스타일 비선호
837,W_24549_00_metrosexual_M.jpg,스타일 비선호
837,W_29838_10_sportivecasual_M.jpg,스타일 비선호
837,W_01568_19_normcore_M.jpg,스타일 선호
837,W_15083_50_ivy_M.jpg,스타일 비선호
837,W_01818_60_mods_M.jpg,스타일 선호
837,W_27700_70_hippie_M.jpg,스타일 비선호
837,W_16659_00_metrosexual_M.jpg,스타일 비선호
837,W_27782_90_hiphop_M.jpg,스타일 비선호
837,W_01706_90_hiphop_M.jpg,스타일 선호
837,W_17524_00_metrosexual_M.jpg,스타일 비선호
837,W_28209_10_sportivecasual_M.jpg,스타일 선호
837,W_28211_19_normcore_M.jpg,스타일 선호
837,W_25777_00_metrosexual_M.jpg,스타일 비선호
837,W_17305_70_hippie_M.jpg,스타일 선호
837,W_01520_50_ivy_M.jpg,스타일 선호
837,W_02897_90_hiphop_M.jpg,스타일 선호
837,W_04601_50_ivy_M.jpg,스타일 선호
837,W_25073_90_hiphop_M.jpg,스타일 선호
837,W_07130_19_normcore_M.jpg,스타일 비선호
837,W_28722_10_sportivecasual_M.jpg,스타일 선호
837,W_24845_80_bold_M.jpg,스타일 비선호
837,W_29169_10_sportivecasual_M.jpg,스타일 선호
