wt,image_id,time,style,gender,image_name,label_name,label
W,13846,60,minimal,W,W_13846_60_minimal_W.jpg,W_minimal,0
W,15811,10,sportivecasual,M,W_15811_10_sportivecasual_M.jpg,M_sportivecasual,1
W,14489,19,normcore,W,W_14489_19_normcore_W.jpg,W_normcore,2
W,12533,80,bold,M,W_12533_80_bold_M.jpg,M_bold,3
W,16836,19,normcore,M,W_16836_19_normcore_M.jpg,M_normcore,4
W,18057,50,classic,W,W_18057_50_classic_W.jpg,W_classic,5
W,10981,50,feminine,W,W_10981_50_feminine_W.jpg,W_feminine,6
W,17123,19,normcore,M,W_17123_19_normcore_M.jpg,M_normcore,4
W,08892,10,sportivecasual,W,W_08892_10_sportivecasual_W.jpg,W_sportivecasual,7
W,14897,10,sportivecasual,W,W_14897_10_sportivecasual_W.jpg,W_sportivecasual,7
W,02713,70,hippie,M,W_02713_70_hippie_M.jpg,M_hippie,8
W,04869,50,classic,W,W_04869_50_classic_W.jpg,W_classic,5
W,17250,19,normcore,M,W_17250_19_normcore_M.jpg,M_normcore,4
W,04727,00,metrosexual,M,W_04727_00_metrosexual_M.jpg,M_metrosexual,9
W,11422,00,ecology,W,W_11422_00_ecology_W.jpg,W_ecology,10
W,04709,90,hiphop,M,W_04709_90_hiphop_M.jpg,M_hiphop,11
W,01527,19,normcore,M,W_01527_19_normcore_M.jpg,M_normcore,4
W,07461,70,hippie,W,W_07461_70_hippie_W.jpg,W_hippie,12
W,06633,50,ivy,M,W_06633_50_ivy_M.jpg,M_ivy,13
W,16131,80,bold,M,W_16131_80_bold_M.jpg,M_bold,3
W,00559,19,normcore,W,W_00559_19_normcore_W.jpg,W_normcore,2
W,14031,80,bodyconscious,W,W_14031_80_bodyconscious_W.jpg,W_bodyconscious,14
W,16219,70,hippie,M,W_16219_70_hippie_M.jpg,M_hippie,8
W,08173,19,normcore,W,W_08173_19_normcore_W.jpg,W_normcore,2
W,18505,80,powersuit,W,W_18505_80_powersuit_W.jpg,W_powersuit,15
W,19342,70,hippie,W,W_19342_70_hippie_W.jpg,W_hippie,12
W,12393,50,ivy,M,W_12393_50_ivy_M.jpg,M_ivy,13
W,10299,90,kitsch,W,W_10299_90_kitsch_W.jpg,W_kitsch,16
W,15574,00,metrosexual,M,W_15574_00_metrosexual_M.jpg,M_metrosexual,9
W,18797,70,disco,W,W_18797_70_disco_W.jpg,W_disco,17
W,15218,60,mods,M,W_15218_60_mods_M.jpg,M_mods,18
W,03388,00,cityglam,W,W_03388_00_cityglam_W.jpg,W_cityglam,19
W,18670,00,ecology,W,W_18670_00_ecology_W.jpg,W_ecology,10
W,05021,90,hiphop,W,W_05021_90_hiphop_W.jpg,W_hiphop,20
W,08637,90,kitsch,W,W_08637_90_kitsch_W.jpg,W_kitsch,16
W,06374,00,ecology,W,W_06374_00_ecology_W.jpg,W_ecology,10
W,03623,70,punk,W,W_03623_70_punk_W.jpg,W_punk,21
W,15848,60,mods,M,W_15848_60_mods_M.jpg,M_mods,18
W,09352,70,military,W,W_09352_70_military_W.jpg,W_military,22
W,09343,19,lounge,W,W_09343_19_lounge_W.jpg,W_lounge,23
W,01993,00,oriental,W,W_01993_00_oriental_W.jpg,W_oriental,24
W,01133,60,minimal,W,W_01133_60_minimal_W.jpg,W_minimal,0
W,01424,70,hippie,M,W_01424_70_hippie_M.jpg,M_hippie,8
W,12027,90,kitsch,W,W_12027_90_kitsch_W.jpg,W_kitsch,16
W,04750,19,normcore,M,W_04750_19_normcore_M.jpg,M_normcore,4
W,12142,80,bold,M,W_12142_80_bold_M.jpg,M_bold,3
W,05289,50,feminine,W,W_05289_50_feminine_W.jpg,W_feminine,6
W,15823,90,hiphop,M,W_15823_90_hiphop_M.jpg,M_hiphop,11
W,13859,10,athleisure,W,W_13859_10_athleisure_W.jpg,W_athleisure,25
W,08943,19,genderless,W,W_08943_19_genderless_W.jpg,W_genderless,26
W,10614,80,bodyconscious,W,W_10614_80_bodyconscious_W.jpg,W_bodyconscious,14
W,07061,90,hiphop,M,W_07061_90_hiphop_M.jpg,M_hiphop,11
W,09426,90,kitsch,W,W_09426_90_kitsch_W.jpg,W_kitsch,16
W,10183,00,oriental,W,W_10183_00_oriental_W.jpg,W_oriental,24
W,04677,50,ivy,M,W_04677_50_ivy_M.jpg,M_ivy,13
W,10919,00,ecology,W,W_10919_00_ecology_W.jpg,W_ecology,10
W,11256,80,bodyconscious,W,W_11256_80_bodyconscious_W.jpg,W_bodyconscious,14
W,00284,80,bodyconscious,W,W_00284_80_bodyconscious_W.jpg,W_bodyconscious,14
W,16460,19,normcore,M,W_16460_19_normcore_M.jpg,M_normcore,4
W,05787,10,sportivecasual,W,W_05787_10_sportivecasual_W.jpg,W_sportivecasual,7
W,15441,00,metrosexual,M,W_15441_00_metrosexual_M.jpg,M_metrosexual,9
W,11367,60,popart,W,W_11367_60_popart_W.jpg,W_popart,27
W,15184,60,mods,M,W_15184_60_mods_M.jpg,M_mods,18
W,15723,70,hippie,M,W_15723_70_hippie_M.jpg,M_hippie,8
W,11117,19,normcore,M,W_11117_19_normcore_M.jpg,M_normcore,4
W,06228,10,sportivecasual,M,W_06228_10_sportivecasual_M.jpg,M_sportivecasual,1
W,14983,00,ecology,W,W_14983_00_ecology_W.jpg,W_ecology,10
W,17384,50,ivy,M,W_17384_50_ivy_M.jpg,M_ivy,13
W,11845,70,hippie,W,W_11845_70_hippie_W.jpg,W_hippie,12
W,00682,70,punk,W,W_00682_70_punk_W.jpg,W_punk,21
